,Size,Mid Cap,Beta,Momentum,Short-Term Reversal,Residual Volatility,Value,Earnings Yield,Profitability,Leverage,Dividend Yield,Liquidity
012330.KS,0.3502374,-0.033730518,0.7735227,0.6452989,0.7752852,0.038050897,0.51738495,0.26824856,-0.40082037,-0.1078075,-0.18998598,0.6924597
AIXA,-3.9749086,-2.629481,-0.27400398,0.6452989,-0.9781935,1.8567753,-1.9991723,-2.076376,0.25041535,-0.5050566,-0.7401891,1.0038236
AMZN,0.34150836,-0.030776855,-2.1377387,-1.6952333,-1.9053925,-0.3952177,-1.955899,-1.39821,1.1278125,-0.29754698,-0.17370883,-2.1344452
COPAl,0.4075069,0.21695042,0.16974209,0.23647428,-0.4964683,-0.30973348,0.37046966,-0.08709519,-0.24943613,-0.15087533,-1.1410276,-0.7086701
MELI,-2.054105,0.028069498,-3.9623325,-3.0046496,-2.6128244,2.342538,-2.176325,-1.1694381,0.96205467,-0.102090865,-0.8947231,-0.8373349
NU,-2.2745862,-0.18684143,-2.7910788,-3.4905908,-2.9690037,1.4858701,-1.8968492,-1.3276452,0.8871717,1.2518718,0.87402344,-1.5060505
SAN,-1.5582013,0.31108698,-1.6565688,-1.2005644,-3.071421,-0.056233525,-0.8524493,-0.5757793,0.24380918,2.5232892,0.17910752,-1.9794623
SGBSl,0.20403278,0.5170606,-0.43731132,0.14540361,-0.1458312,-0.08151517,0.17557952,0.23080626,0.048836727,-0.21945329,-0.061247222,-0.22496933
SMH,2.5087843,2.5141342,-0.44459474,1.0216038,-1.0247996,-0.30860645,0.77688646,0.4996149,-0.037865344,1.6547239,-0.054347705,-1.314939
URNU,1.4980029,1.4673667,-1.3036584,0.602562,-0.4828541,-1.1289699,0.123837896,0.8948315,0.82259834,0.18890962,0.87577105,-2.8444712
WDEF,0.9435866,0.7811378,-0.6555705,0.78161204,-1.2808447,0.041775927,0.41670325,-0.048978753,1.4708812,0.16537544,-0.8364623,0.2517428
XLUS,0.40488976,0.22800204,0.20939985,0.007543217,-0.15977497,0.26777261,0.053982154,-0.102286264,-0.494519,-0.07444856,-0.60802716,-0.65427357
