date,aum_eur,external_flow_eur
2026-05-06,2500.0,0.0
2026-05-07,2489.47,0.0
2026-05-08,2464.58,0.0
2026-05-11,2460.45,0.0
2026-05-12,2446.19,0.0
2026-05-13,2456.75,0.0
2026-05-14,2464.96,0.0
2026-05-15,2450.75,0.0
2026-05-18,2448.97,0.0
2026-05-19,2452.08,0.0
2026-05-20,2470.29,0.0
2026-05-21,2469.12,0.0
2026-05-25,2485.21,0.0
2026-05-26,2486.35,0.0
2026-05-27,2491.75,0.0
2026-05-28,2497.92,0.0
2026-05-29,2497.91,0.0
2026-06-01,2487.28,0.0
2026-06-02,2494.34,0.0
2026-06-03,2492.61,0.0
2026-06-04,2489.65,0.0
2026-06-05,2485.37,0.0
2026-06-08,2485.81,0.0
2026-06-09,2475.67,0.0
2026-06-10,2456.6,0.0
2026-06-11,2471.48,0.0
2026-06-12,2501.56,0.0
2026-06-15,2522.81,0.0
2026-06-16,2520.93,0.0
2026-06-17,2540.27,0.0
2026-06-18,2543.32,0.0
2026-06-19,2540.83,0.0
2026-06-23,2512.84,0.0
2026-06-24,2495.29,0.0
2026-06-25,2497.37,0.0
2026-06-29,2491.31,0.0
2026-07-01,2507.27,0.0
2026-07-02,2494.35,0.0
2026-07-03,2506.91,0.0
2026-07-06,2521.17,0.0
2026-07-07,2482.77,0.0
2026-07-08,2461.31,0.0
2026-07-09,2482.08,0.0
2026-07-10,2475.91,0.0
2026-07-13,2465.77,0.0
2026-07-14,2472.76,0.0
2026-07-15,2461.35,0.0
2026-07-16,2444.34,0.0
2026-07-17,2430.66,0.0
2026-07-20,2437.26,0.0
2026-07-21,2459.75,0.0
2026-07-22,2464.56,0.0
2026-07-23,2451.57,0.0
2026-07-27,2447.02,0.0
2026-07-28,2438.26,0.0
2026-07-29,2413.54,0.0
2026-07-30,2430.52,0.0
2026-07-31,2438.27,0.0
2026-08-03,2455.55,0.0
2026-08-04,2476.64,0.0
2026-08-05,2477.57,0.0
2026-08-06,2476.98,0.0
2026-08-07,2479.65,0.0
2026-08-10,2472.96,0.0
2026-08-11,2493.38,0.0
2026-08-12,2503.14,0.0
2026-08-13,2496.91,0.0
2026-08-14,2492.13,0.0
2026-08-17,2495.42,0.0
2026-08-18,2453.56,0.0
2026-08-19,2448.74,0.0
2026-08-20,2458.7,0.0
2026-08-21,2475.71,0.0
2026-08-24,6465.41,4000.0
2026-08-25,6512.45,0.0
2026-08-26,6478.11,0.0
2026-08-27,6471.67,0.0
2026-08-28,6401.93,0.0
2026-08-31,6434.13,0.0
2026-09-01,6340.53,0.0
2026-09-02,6348.14,0.0
2026-09-03,6420.86,0.0
2026-09-04,6404.87,0.0
2026-09-07,6443.41,0.0
2026-09-08,6428.81,0.0
2026-09-09,6378.68,0.0
2026-09-10,6315.94,0.0
2026-09-11,6350.3,0.0
2026-09-14,6274.0,0.0
2026-09-15,6221.11,0.0
2026-09-16,6254.11,0.0
2026-09-17,6334.16,0.0
2026-09-18,6344.87,0.0
