date,portfolio_return_pct,sp500_return_pct,msci_world_return_pct,msci_europe_return_pct,blend_60_40_return_pct
2026-05-06,0.0,0.0,0.0,0.0,0.0
2026-05-07,-0.4213,-0.3803,-0.7526,-2.2119,-0.6248
2026-05-08,-0.9999,0.8426,0.7634,0.9821,0.658
2026-05-11,-0.1673,0.188,0.1196,-0.3684,0.0145
2026-05-12,-0.5795,-0.1603,-0.1543,-1.2276,-0.4938
2026-05-13,0.4314,0.5849,0.5285,0.7188,0.3941
2026-05-14,0.3345,0.7656,0.5505,0.0446,0.2762
2026-05-15,-0.5768,-1.2363,-1.3909,-2.0062,-1.2179
2026-05-18,-0.0725,-0.0736,0.1651,1.2587,0.0881
2026-05-19,0.1272,-0.6678,-0.6392,-0.8387,-0.5279
2026-05-20,0.7424,1.0792,1.2665,2.4468,0.973
2026-05-21,-0.0475,0.1715,0.2879,0.6487,0.2774
2026-05-25,0.6515,0.3727,0.2326,-0.3808,0.1602
2026-05-26,0.0461,0.6108,0.7208,1.6909,0.8431
2026-05-27,0.2173,0.0165,-0.0441,-0.2458,-0.0865
2026-05-28,0.2475,0.5754,0.4365,-0.2754,0.303
2026-05-29,-0.0003,0.2172,0.0635,-0.0291,0.1295
2026-06-01,-0.4259,0.2625,0.2098,0.0872,0.1293
2026-06-02,0.2841,0.1292,0.3993,0.7263,0.2152
2026-06-03,-0.0696,-0.7372,-0.7421,-1.1393,-0.5297
2026-06-04,-0.1186,0.4055,0.4984,1.1087,0.2447
2026-06-05,-0.172,-2.6445,-2.5721,-2.4239,-1.967
2026-06-08,0.0178,0.2978,0.3344,0.6654,0.2783
2026-06-09,-0.4078,-0.2576,-0.3333,0.6169,0.0
2026-06-10,-0.7707,-1.6199,-1.4672,-1.5474,-0.9201
2026-06-11,0.6058,1.7519,2.0766,3.6922,1.6215
2026-06-12,1.2173,0.5026,0.387,0.0,0.2611
2026-06-15,0.8493,1.6528,0.6475,-0.9295,0.9549
2026-06-16,-0.0743,-0.5684,-0.2603,0.0866,-0.1863
2026-06-17,0.7671,-1.2148,-1.0389,-0.5336,-0.7035
2026-06-18,0.1202,1.0846,0.8657,0.493,0.8676
2026-06-19,-0.0981,0.0,0.0,0.0,0.0
2026-06-23,-1.1015,-1.8015,-1.6278,-1.9045,-1.4048
2026-06-24,-0.6985,-0.0983,-0.2156,-0.6913,0.1163
2026-06-25,0.0834,-0.0099,0.1457,1.3033,0.2324
2026-06-29,-0.2425,1.1273,0.9785,0.2924,0.4202
2026-07-01,0.6407,0.5752,0.4174,-0.3644,-0.1154
2026-07-02,-0.5154,0.0001,0.2821,1.2729,0.0578
2026-07-03,0.5034,0.0,0.0,0.0,0.0
2026-07-06,0.5688,0.7242,0.8833,0.9535,0.0144
2026-07-07,-1.523,-0.4455,-0.6408,-1.4883,-0.765
2026-07-08,-0.8646,-0.2817,-0.4135,-0.9442,-0.2909
2026-07-09,0.8442,0.8143,0.7118,0.4693,0.5543
2026-07-10,-0.2488,0.4209,0.4418,0.073,0.2466
2026-07-13,-0.4095,-0.7927,-0.7917,-0.9627,-0.8538
2026-07-14,0.2836,0.3759,0.4778,0.6333,0.4963
2026-07-15,-0.4613,0.3819,0.3775,0.6293,0.305
2026-07-16,-0.6911,-0.5101,-0.5714,-0.7563,-0.4344
2026-07-17,-0.56,-1.0099,-0.8252,-0.3957,-0.509
2026-07-20,0.2716,-0.1932,-0.3962,-0.7209,-0.3216
2026-07-21,0.9227,0.8856,1.0094,1.5708,0.6306
2026-07-22,0.1958,-0.1364,-0.0148,0.4085,-0.0291
2026-07-23,-0.527,-1.209,-1.226,-1.7727,-0.8163
2026-07-27,-0.1859,0.0659,0.324,0.9763,0.2205
2026-07-28,-0.3578,0.2104,0.2683,-0.1318,0.0587
2026-07-29,-1.0141,-1.5161,-1.2983,-0.6748,-0.9233
2026-07-30,0.7037,1.6604,1.9078,2.8652,1.3166
2026-07-31,0.3189,0.7004,0.1921,-0.1149,0.0584
2026-08-03,0.7085,1.4791,1.2195,0.9487,0.7734
2026-08-04,0.859,1.7896,1.6468,1.2388,1.2019
2026-08-05,0.0378,-0.1676,-0.043,-0.1125,-0.0286
2026-08-06,-0.024,-0.176,-0.2486,0.0141,-0.2147
2026-08-07,0.108,0.6184,0.8819,0.7602,0.5737
2026-08-10,-0.2699,-0.0584,-0.171,-0.3773,-0.2852
2026-08-11,0.8257,-0.3213,-0.1999,0.3226,-0.0286
2026-08-12,0.3915,0.2627,0.3291,0.2237,0.3004
2026-08-13,-0.2491,0.6516,0.5371,0.265,0.4136
2026-08-14,-0.1911,-0.1696,-0.1418,0.153,-0.1563
2026-08-17,0.132,-0.5227,-0.3693,-0.1528,-0.2276
2026-08-18,-1.6779,-0.6882,-0.8031,-1.0851,-0.6559
2026-08-19,-0.196,0.2109,0.23,0.1547,0.3301
2026-08-20,0.4064,-0.8669,-0.6644,-0.1404,-0.3863
2026-08-21,0.692,0.4346,0.5966,0.5344,0.316
2026-08-24,-0.1591,-0.2803,-0.2822,-0.1818,-0.1718
2026-08-25,0.7276,0.3191,0.4077,0.2943,0.5163
2026-08-26,-0.5274,-0.0206,-0.1768,-0.2375,-0.1427
2026-08-27,-0.0994,0.7203,0.4642,-0.5042,0.2429
2026-08-28,-1.0775,-0.2487,-0.2382,-0.2815,-0.3278
2026-08-31,0.503,-0.3322,-0.2913,-0.5364,-0.2717
2026-09-01,-1.4547,-0.7113,-0.8572,-1.178,-0.5736
2026-09-02,0.1199,0.4603,0.4685,0.359,0.4038
2026-09-03,1.1456,1.058,1.125,0.5724,0.6895
2026-09-04,-0.249,-0.3757,-0.2472,0.2561,-0.0143
2026-09-07,0.6017,0.0,0.0,0.0,0.0
2026-09-08,-0.2265,-0.584,-0.5672,-0.1277,-0.3424
2026-09-09,-0.7798,-0.4843,-0.5656,-1.0516,-0.5297
2026-09-10,-0.9837,-0.5848,-0.7616,-0.9335,-0.6908
2026-09-11,0.5441,0.8599,0.8841,0.9133,0.5217
2026-09-14,-1.2016,-0.4832,-0.4285,-1.5659,-0.5623
2026-09-15,-0.8429,-0.4495,-0.5658,-0.2773,-0.2755
2026-09-16,0.5304,-0.4472,-0.4474,-0.2488,-0.2181
2026-09-17,1.2799,1.1381,1.2212,0.8656,0.7868
2026-09-18,0.1691,0.1668,-0.2123,-0.8582,-0.1301
