metric,value
Annualized Return,-0.118935737704918
Annualized Volatility,0.10998766281962986
Sharpe Ratio,-1.081355259816387
Sortino Ratio,-12.402907326674521
Calmar Ratio,-2.099992788630175
Max Drawdown,-0.05663626006187372
Max Drawdown Duration (days),57.0
Max Drawdown Duration (months),2.7142857142857144
"VaR (Monthly, 5%)",-0.020898570329505685
"CVaR (Monthly, 5%)",-0.021291177674068074
Skewness,1.6207677830778258
Kurtosis,
R-Squared (Benchmark),0.9186878391605765
Upside Capture %,-84.7382303247039
Downside Capture %,
