benchmark,theme,portfolio_weight_pct,benchmark_weight_pct,selection_effect_bps,allocation_effect_bps,total_effect_bps
60_40,Cash,58.3288,58.3288,-2649.98,0.0,-2649.98
60_40,AI & Semis,12.879,12.879,-269.94,0.0,-269.94
60_40,EU Sovereignty,7.261,7.261,19.21,0.0,19.21
60_40,Commodities,5.5875,5.5875,39.28,0.0,39.28
60_40,Financials,4.2958,4.2958,15.4,0.0,15.4
60_40,ETF,4.0566,4.0566,28.59,0.0,28.59
60_40,Electrification,3.8504,3.8504,-26.88,0.0,-26.88
60_40,Optionality,3.7409,3.7409,140.74,0.0,140.74
MSCI_EUROPE,Cash,58.3288,58.3288,-2646.4,0.0,-2646.4
MSCI_EUROPE,AI & Semis,12.879,12.879,-269.15,0.0,-269.15
MSCI_EUROPE,EU Sovereignty,7.261,7.261,19.65,0.0,19.65
MSCI_EUROPE,Commodities,5.5875,5.5875,39.62,0.0,39.62
MSCI_EUROPE,Financials,4.2958,4.2958,15.66,0.0,15.66
MSCI_EUROPE,ETF,4.0566,4.0566,28.84,0.0,28.84
MSCI_EUROPE,Electrification,3.8504,3.8504,-26.65,0.0,-26.65
MSCI_EUROPE,Optionality,3.7409,3.7409,140.96,0.0,140.96
MSCI_WORLD,Cash,58.3288,58.3288,-2798.0,0.0,-2798.0
MSCI_WORLD,AI & Semis,12.879,12.879,-302.62,0.0,-302.62
MSCI_WORLD,EU Sovereignty,7.261,7.261,0.78,0.0,0.78
MSCI_WORLD,Commodities,5.5875,5.5875,25.1,0.0,25.1
MSCI_WORLD,Financials,4.2958,4.2958,4.5,0.0,4.5
MSCI_WORLD,ETF,4.0566,4.0566,18.29,0.0,18.29
MSCI_WORLD,Electrification,3.8504,3.8504,-36.65,0.0,-36.65
MSCI_WORLD,Optionality,3.7409,3.7409,131.24,0.0,131.24
SPX,Cash,58.3288,58.3288,-2793.0,0.0,-2793.0
SPX,AI & Semis,12.879,12.879,-301.52,0.0,-301.52
SPX,EU Sovereignty,7.261,7.261,1.4,0.0,1.4
SPX,Commodities,5.5875,5.5875,25.58,0.0,25.58
SPX,Financials,4.2958,4.2958,4.86,0.0,4.86
SPX,ETF,4.0566,4.0566,18.64,0.0,18.64
SPX,Electrification,3.8504,3.8504,-36.33,0.0,-36.33
SPX,Optionality,3.7409,3.7409,131.56,0.0,131.56
