as_of_date,theme,symbol,name,isin,weight_pct_of_nav,period_return_pct,cumulative_return_pct
2026-09-23,AI & Semis,AIXA,AIXTRON SE,DE000A0WMPJ6,6.4862,-30.1562,-15.9858
2026-09-23,AI & Semis,ORCL,ORACLE CORP,US68389X1054,3.9806,-3.1359,-3.1359
2026-09-23,AI & Semis,SMH,VANECK SEMICONDUCTOR ETF,IE00BMC38736,2.5947,16.1169,8.7447
2026-09-23,Cash,CASH_USD,US Dollar Cash,,12.672,-100.0,2.0516
2026-09-23,Cash,CASH_EUR,Euro Cash,,9.0101,-53.7915,0.0
2026-09-23,Cash,CASH_GBP,British Pound Cash,,3.4387,16.0006,-0.1723
2026-09-23,Commodities,SGBSl,WT PHYSICAL SWISS GOLD,JE00B588CD74,11.2713,-9.1376,-6.0242
2026-09-23,Commodities,COPAl,WT COPPER,GB00B15KXQ89,4.7606,3.2919,1.2948
2026-09-23,EU Sovereignty,WDEF,WT EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,5.9462,-0.6315,-3.2114
2026-09-23,Electrification,URNU,GLOBAL X URANIUM UCITS USD-A,IE000NDWFGA5,3.1348,-31.6065,-17.8735
2026-09-23,Electrification,HCCD,CONTEMPORARY AMPEREX TEC-SDR,SGXE51956733,2.9899,-8.0992,-8.0992
2026-09-23,Electrification,XLUS,INVESCO US UTILITIES S&P,IE00B3VPKB53,2.9113,-13.2357,-12.4021
2026-09-23,Financials,SAN,BANCO SANTANDER SA,ES0113900J37,8.4765,15.8638,2.1733
2026-09-23,Fintech,MELI,MERCADOLIBRE INC,US58733R1023,4.6942,-3.8169,-6.0009
2026-09-23,Fintech,NU,NU HOLDINGS LTD/CAYMAN ISL-A,KYG6683N1034,2.0627,-6.0101,-6.0101
2026-09-23,Optionality,PURR,HYPERLIQUID STRATEGIES,US44916Y1064,7.1924,71.9822,16.1021
2026-09-23,Robotics,AMZN,AMAZON.COM INC,US0231351067,4.6739,-3.2786,-3.2786
2026-09-23,Robotics,012330.KS,HYUNDAI MOBIS CO LTD,KR7012330007,3.7038,-24.0702,-24.0702
