trade_date,symbol,name,isin,currency,asset_type,buy_sell,quantity,proceeds,commission,entry_exit_price,effective_price
2026-09-08,HCCD,CONTEMPORARY AMPEREX TEC-SDR,SGXE51956733,SGD,SINGAPORE DR,BUY,100.0,-300.0,-2.5,3.0,3.025
2026-09-02,TRNl,TRAINLINE PLC,GB00BKDTK925,GBP,COMMON,SELL,-15.9574,30.329273,-4.0,1.9006,1.65
2026-09-01,SAN,BANCO SANTANDER SA,ES0113900J37,EUR,COMMON,BUY,12.0,-150.0,-3.0,12.5,12.75
2026-08-31,AIXA,AIXTRON SE,DE000A0WMPJ6,EUR,COMMON,BUY,5.0,-180.85,-3.0,36.17,36.77
2026-08-31,PURR,HYPERLIQUID STRATEGIES,US44916Y1064,USD,COMMON,SELL,-150.0,1800.0,-1.06678,12.0,11.9929
2026-08-31,NU,NU HOLDINGS LTD/CAYMAN ISL-A,KYG6683N1034,USD,COMMON,BUY,11.0,-158.4,-1.000033,14.4,14.4909
2026-08-31,ESIF,ISHARES EUROPE FINANCL EUR A,IE00BMW42306,EUR,ETF,SELL,-6.2475,108.4566,-3.0,17.36,16.8798
2026-08-28,PURR,HYPERLIQUID STRATEGIES,US44916Y1064,USD,COMMON,BUY,150.0,-1800.0,-1.00045,12.0,12.0067
2026-08-27,WDEF,WT EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,EUR,ETF,BUY,6.0,-198.48,-3.0,33.08,33.58
2026-08-27,URNU,GLOBAL X URANIUM UCITS USD-A,IE000NDWFGA5,USD,ETF,BUY,7.2733,-212.9985905,-4.0,29.285,29.835
2026-08-27,SAN,BANCO SANTANDER SA,ES0113900J37,EUR,COMMON,BUY,22.0,-276.584,-3.0,12.572,12.7084
2026-08-27,PURR,HYPERLIQUID STRATEGIES,US44916Y1064,USD,COMMON,BUY,11.0701,-149.99985500000003,-1.00003321,13.55,13.6403
2026-08-27,MELI,MERCADOLIBRE INC,US58733R1023,USD,COMMON,BUY,0.0976,-189.810528,-1.000000293,1944.78,1955.0259
2026-08-27,COPAl,WT COPPER,GB00B15KXQ89,USD,ETF,BUY,3.0,-169.98,-4.0,56.66,57.9933
2026-08-27,AMZN,AMAZON.COM INC,US0231351067,USD,COMMON,BUY,1.3619,-349.988388,-1.000004085,256.9854,257.7197
2026-08-25,012330.KS,HYUNDAI MOBIS CO LTD,KR7012330007,KRW,COMMON,BUY,1.0,-480000.0,-4000.0,480000.0,484000.0
2026-08-24,SGBSl,WT PHYSICAL SWISS GOLD,JE00B588CD74,USD,ETF,BUY,1.0,-446.5,-4.0,446.5,450.5
2026-08-19,PURR,HYPERLIQUID STRATEGIES,US44916Y1064,USD,COMMON,BUY,18.9286,-174.99955,-1.000056786,9.2452,9.2981
2026-08-10,AIXA,AIXTRON SE,DE000A0WMPJ6,EUR,COMMON,BUY,3.6407,-149.99684,-3.0,41.2,42.024
2026-07-20,XLUS,INVESCO US UTILITIES S&P,IE00B3VPKB53,USD,ETF,BUY,0.2596,-170.99852,-1.7,658.7,665.2485
2026-07-16,MELI,MERCADOLIBRE INC,US58733R1023,USD,COMMON,BUY,0.0919,-170.911944,-1.000000276,1859.76,1870.6414
